Num;code;Replace;sym
123;💓;emojbeatingheart;1
124;💞;emojrevolvinghearts;1
125;💕;emojtwohearts;1
126;💟;emojheartdecoration;1
127;❣;emojheartexclamation;1
128;💔;emojbrokenheart;1
129;❤;emojredheart;1
130;🧡;emojorangeheart;1
131;💛;emojyellowheart;1
132;💚;emojgreenheart;1
133;💙;emojblueheart;1
134;💜;emojpurpleheart;1
135;🤎;emojbrownheart;1
136;🖤;emojblackheart;1
137;🤍;emojwhiteheart;1
138;💯;emojhundredpoints;1
139;💢;emojangersymbol;1
140;💥;emojcollision;1
141;💫;emojdizzy;1
142;💦;emojsweatdroplets;1
143;💨;emojdashingaway;1
144;🕳;emojhole;1
145;💣;emojbomb;1
146;💬;emojspeechballoon;1
148;🗨;emojleftspeechbubble;1
149;🗯;emojrightangerbubble;1
150;💭;emojthoughtballoon;1
151;💤;emojzzz;1
152;👋;emojwavinghand;1
153;🤚;emojraisedbackofhand;1
154;🖐;emojhandwithfingerssplayed;1
155;✋;emojraisedhand;1
156;🖖;emojvulcansalute;1
157;👌;emojOKhand;1
